,pre_contrast_index,early_contrast_index,late_contrast_index
518000,0,2,5
518576,0,2,6
519738,0,2,6
520258,0,2,6
520986,0,2,5
521860,0,2,6
527320,0,2,5
527581,0,2,5
528479,0,2,6
528833,0,2,5
531672,0,2,5
532183,0,2,5
535415,0,2,5
535569,0,2,6
535779,0,2,6
536253,0,2,5
539291,0,2,6
539876,0,2,5
539904,0,2,5
540539,0,2,6
541165,0,2,5
542392,0,2,5
543795,0,2,5
549172,0,2,6
550157,0,2,6
550421,0,2,6
551795,0,2,6
552313,0,2,5
552549,0,2,6
553012,0,2,6
553141,0,2,5
554577,0,2,5
555214,0,2,6
559021,0,2,5
559263,0,2,6
563856,0,2,5
564234,0,2,5
566011,0,2,5
567201,0,2,6
567907,0,2,5
568331,0,2,5
568953,0,2,5
570148,0,2,5
570380,0,2,5
570685,0,2,6
570966,0,2,5
571276,0,2,6
572016,0,2,5
572235,0,2,5
572444,0,2,5
572731,0,2,6
572793,0,2,6
573586,0,2,5
573881,0,2,5
574091,0,2,6
575372,0,2,6
575457,0,2,6
578975,0,2,6
579881,0,2,5
581648,0,2,6
586091,0,2,5
586207,0,2,5
587388,0,2,5
589502,0,2,5
590220,0,2,5
590299,0,2,5
591079,0,2,5
591180,0,2,5
592535,0,2,5
596079,0,2,4
596458,0,2,5
597253,0,2,5
597873,0,2,5
598798,0,2,5
600536,0,2,5
601489,0,2,5
602451,0,2,4
602943,0,3,7
604199,0,2,6
604326,0,2,5
604380,0,2,6
605713,0,2,5
607047,0,2,5
609642,0,2,5
609897,0,2,6
611662,0,2,6
613188,0,2,5
613961,0,2,6
614044,0,2,6
614434,0,2,5
615873,0,2,5
616994,0,2,6
618240,0,2,5
621179,0,2,5
622078,0,2,5
622315,0,2,6
622688,0,2,5
623086,0,2,6
623569,0,2,6
624777,0,2,6
625800,0,2,6
625854,0,2,5
627118,0,2,5
627981,0,2,6
628692,0,2,6
629210,0,2,5
630758,0,2,5
631337,0,2,5
632408,0,2,5
635862,0,2,5
636424,0,2,6
637051,0,2,5
637566,0,2,5
637752,0,2,5
639663,0,2,6
640043,0,2,6
640463,0,2,5
640927,0,2,5
644186,0,2,6
644609,0,2,6
646233,0,2,6
646600,0,2,6
650589,0,2,5
651401,0,2,6
651541,0,2,5
654956,0,2,5
655703,0,2,5
655795,0,2,6
658541,0,2,6
660534,0,2,6
660915,0,2,5
663197,0,2,6
663467,0,2,5
664658,0,2,5
666147,0,2,5
666450,0,2,5
666715,0,2,5
668752,0,2,5
672734,0,2,6
674897,0,2,5
676048,0,2,6
676365,0,2,5
676630,0,2,5
677915,0,2,5
679787,0,2,6
683173,0,2,6
683374,0,2,5
683457,0,2,6
685182,0,2,6
685753,0,2,6
687733,0,2,5
689188,0,2,6
690410,0,2,6
692885,0,2,5
697098,0,2,6
697871,0,2,5
701790,0,2,5
703401,0,2,6
703455,0,2,5
705381,0,2,5
706169,0,2,6
706418,0,2,5
706943,0,2,5
708387,0,2,5
709559,0,1,3
712276,0,2,5
712917,0,2,6
714205,0,2,5
719713,0,2,5
720065,0,2,5
723918,0,2,6
725455,0,2,5
726091,0,2,5
726381,0,2,5
726940,0,2,6
727255,0,2,5
727804,0,2,6
728287,0,2,5
728714,0,2,5
729270,0,2,5
729732,0,2,5
732137,0,2,6
733276,0,2,6
735673,0,2,6
741535,0,3,7
742477,0,2,6
745633,0,2,6
746265,0,2,5
746731,0,2,6
749097,0,2,5
752372,0,2,5
752469,0,2,5
756412,0,2,5
759015,0,2,6
759418,0,2,5
765773,0,2,6
766301,0,2,5
766967,0,2,5
767081,0,2,5
767934,0,2,5
768214,0,2,5
769972,0,2,6
771813,0,2,6
778020,0,2,5
778527,0,2,5
780272,0,2,6
781335,0,2,5
781642,0,2,6
782334,0,2,6
783427,0,2,6
783578,0,2,6
783771,0,2,6
786003,0,2,5
786480,0,2,5
787415,0,2,5
788149,0,2,6
789497,0,2,5
790070,0,2,6
790397,0,2,5
790722,0,2,5
791321,0,2,5
791944,0,2,5
792412,0,2,5
793684,0,2,6
794428,0,2,5
796558,0,2,6
797427,0,2,5
797499,0,2,6
797639,0,2,5
798604,0,2,5
800710,0,2,6
802105,0,2,6
802778,0,2,5
803514,0,2,5
803677,0,2,6
804233,0,2,6
808714,0,2,5
809037,0,2,5
809649,0,2,5
810965,0,2,6
812089,0,2,6
814299,0,2,5
815421,0,2,6
815493,0,2,6
819622,0,2,5
820348,0,2,5
823618,0,2,6
824234,0,2,5
824350,0,2,5
824512,0,2,5
825363,0,2,6
828199,0,2,5
829491,0,2,5
830486,0,2,6
830958,0,2,6
831702,0,2,5
832056,0,2,6
833536,0,2,5
834418,0,2,6
835658,0,2,6
836114,0,2,5
836983,0,2,5
840501,0,2,5
841336,0,2,6
845079,0,2,6
845147,0,2,5
845663,0,2,5
846156,0,2,5
847272,0,2,6
847753,0,2,6
848371,0,2,6
849605,0,2,5
851180,0,2,5
851223,0,2,6
851488,0,2,5
857165,0,2,6
859699,0,2,5
862244,0,2,6
865416,0,2,5
872188,0,2,5
873686,0,2,6
876511,0,2,6
877463,0,2,5
882538,0,2,5
883696,0,2,5
883886,0,2,6
884266,0,2,5
885590,0,2,5
885871,0,2,5
889049,0,2,5
889225,0,2,5
889721,0,2,6
890414,0,2,5
891645,0,2,5
892390,0,2,6
893874,0,2,6
894128,0,2,5
894491,0,3,6
896621,0,2,5
896939,0,2,6
898618,0,2,6
899381,0,2,6
903880,0,2,5
904269,0,2,5
905264,0,2,6
906042,0,2,5
906795,0,2,6
910188,0,2,5
910706,0,2,6
912836,0,2,6
913225,0,2,5
914968,0,2,5
916586,0,2,5
916645,0,2,5
917762,0,2,5
918979,0,2,6
920479,0,2,5
922872,0,2,5
923968,0,2,5
924812,0,2,6
924868,0,2,6
924895,0,2,5
925691,0,2,5
930172,0,2,4
930853,0,2,6
930903,0,2,5
932200,0,2,5
934459,0,2,5
934906,0,2,6
935460,0,2,5
940186,0,2,6
941191,0,2,5
941926,0,2,5
943879,0,2,5
944419,0,2,5
944536,0,2,6
950131,0,2,6
953262,0,2,5
953885,0,2,5
955953,0,2,5
957408,0,2,5
959366,0,2,5
960490,0,2,5
960963,0,2,5
962472,0,2,6
962664,0,3,6
962827,0,2,5
965265,0,2,5
966016,0,2,6
972307,0,2,5
974181,0,2,5
974618,0,2,5
981461,0,2,6
981664,0,2,5
982505,0,2,5
983841,0,2,5
986734,0,2,5
987995,0,2,6
988443,0,2,5
988665,0,2,5
990443,0,2,5
994987,0,2,5
997702,0,2,5
999264,0,2,6
999733,0,2,6
102212,0,2,6
103939,0,2,5
104268,0,2,6
107700,0,2,6
108969,0,2,6
115987,0,2,6
116603,0,2,6
118307,0,2,6
120521,0,2,5
130580,0,2,5
131961,0,2,5
134851,0,2,5
138027,0,2,5
139973,0,2,6
144302,0,2,5
144862,0,2,5
145777,0,2,5
146716,0,2,5
146987,0,2,6
148357,0,2,6
150547,0,2,6
150756,0,2,5
152090,0,2,5
155058,0,2,6
156163,0,2,6
158809,0,2,6
162562,0,2,6
165925,0,2,6
169600,0,2,5
169918,0,2,6
172366,0,2,5
178150,0,2,5
179369,0,2,6
179568,0,2,6
188700,0,2,5
196064,0,2,6
202535,0,2,5
203060,0,2,5
