,Univariate treatment,Univariate treatment,Univariate control,Univariate control,Multivariate interaction,Multivariate interaction,Multivariate interaction adjusted,Multivariate interaction adjusted
,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected,p-value,p-value corrected
original_glszm_SizeZoneNonUniformity_32_binCount,0.14637814654590872,0.29275629309181744,0.2117924534234292,0.9872638152909196,0.49991546192359915,0.6848441917960378,0.3394831238432495,0.5713344240916478
original_gldm_DependenceNonUniformity_32_binCount,0.1507164062376521,0.29350037004174356,0.16295257379093,0.9872638152909196,0.40254299326028176,0.6578837656081236,0.31210431135821826,0.565404697685932
original_gldm_SmallDependenceHighGrayLevelEmphasis_32_binCount,0.665159029269167,0.7812979073955295,0.5980260506737698,0.9872638152909196,0.5078484071939781,0.6848441917960378,0.4949352766306322,0.6540216155476211
log_sigma_3_mm_3D_firstorder_10Percentile_32_binCount,0.9229092767438694,0.9844888236734157,0.5046927856775789,0.9872638152909196,0.6434461674474214,0.7935836065184864,0.7426218512503929,0.8858258246937254
log_sigma_3_mm_3D_firstorder_Energy_32_binCount,0.4107776722605372,0.5379510923346333,0.22533338294890518,0.9872638152909196,0.9594261895919822,0.9975321237249359,0.9504270912478028,0.970473816000209
log_sigma_3_mm_3D_firstorder_Entropy_32_binCount,0.0014202458890641525,0.024620388691857446,0.3804353020772696,0.9872638152909196,0.0005441667368893056,0.009098628262686032,0.00020755032308190032,0.0030717447816121244
log_sigma_3_mm_3D_firstorder_InterquartileRange_32_binCount,0.9499289888478911,0.9844888236734157,0.9338494928835049,0.9919230763390461,0.9975321237249359,0.9975321237249359,0.8238909555499053,0.9327318099672287
log_sigma_3_mm_3D_firstorder_Maximum_32_binCount,0.21068339544148093,0.3779391662812638,0.8507192619051801,0.9872638152909196,0.34118582002737513,0.6578837656081236,0.30912945846852474,0.565404697685932
log_sigma_3_mm_3D_firstorder_MeanAbsoluteDeviation_32_binCount,0.9578810176281883,0.9844888236734157,0.9298736247675289,0.9919230763390461,0.924407234578954,0.9913932660701825,0.9835834381670917,0.9835834381670917
log_sigma_3_mm_3D_firstorder_Mean_32_binCount,0.83756111405708,0.9250674991078197,0.12943879679706266,0.9872638152909196,0.31060277611236525,0.6578837656081236,0.4200079004714614,0.6304370294998853
log_sigma_3_mm_3D_firstorder_Minimum_32_binCount,0.3519920511614105,0.510733564430282,0.7399789059637094,0.9872638152909196,0.34141800430258024,0.6578837656081236,0.28075938321876215,0.565404697685932
log_sigma_3_mm_3D_firstorder_Range_32_binCount,0.29063000128381755,0.4575876615957979,0.8924464240762738,0.9919230763390461,0.346343425817087,0.6578837656081236,0.2966477976814542,0.565404697685932
log_sigma_3_mm_3D_firstorder_RobustMeanAbsoluteDeviation_32_binCount,0.9494617657842215,0.9844888236734157,0.9496006832534138,0.9919230763390461,0.9882814716937104,0.9975321237249359,0.8318959386194202,0.9327318099672287
