,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
interception,-1.47,0.18,-1.8,-1.14,0.0,0.0,1915.43,2143.01,1.0
treatment[Treatment],0.97,0.28,0.45,1.49,0.01,0.0,1830.84,2414.25,1.0
