,Perturbation,Interphase,Interobserver
original_glszm_SmallAreaEmphasis,0.986480915,0.8171274573666919,0.4705842613436748
original_glszm_SmallAreaHighGrayLevelEmphasis,0.956007836,0.7572073574134486,0.6209711854109705
original_glszm_SmallAreaLowGrayLevelEmphasis,0.938346641,0.0972801740844806,0.1745777543797034
original_glszm_ZoneEntropy,0.960008769,0.8198275658541809,0.2451053876676064
original_glszm_ZonePercentage,0.974016737,0.91304926471625,0.6481671069058902
original_glszm_ZoneVariance,0.906613117,0.880950128891321,0.0129005666086411
original_gldm_DependenceEntropy,0.963188242,0.8939455198633365,0.5192299735208777
original_gldm_DependenceNonUniformity,0.99507266,0.9858350758682352,0.8401363977059053
original_gldm_DependenceNonUniformityNormalized,0.954112939,0.9029194868603868,0.6630292416163455
original_gldm_DependenceVariance,0.950877494,0.8931661562390047,0.6366072295857675
original_gldm_GrayLevelNonUniformity,0.99157357,0.9782553178360258,0.3091150366239112
original_gldm_GrayLevelVariance,0.878515571,0.7044809441321976,0.6430665473691708
original_gldm_HighGrayLevelEmphasis,0.940046836,0.783732034308356,0.5901598432006246
original_gldm_LargeDependenceEmphasis,0.943810875,0.9122441265237092,0.6494865536459542
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.95992978,0.6928854048141919,0.3880855355604826
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.934848111,0.4403687868467099,0.2176832007217187
original_gldm_LowGrayLevelEmphasis,0.945498793,0.2511032999983292,0.5202553741330259
original_gldm_SmallDependenceEmphasis,0.982312388,0.9081476021385666,0.6207575989531733
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.9393102,0.8718738694610425,0.813140175399248
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.962485902,0.1273328819546843,0.0870686557405742
original_ngtdm_Busyness,0.989532803,0.9094284899521982,0.349105964264479
original_ngtdm_Coarseness,0.973140483,0.995572238265676,0.2777096016823167
original_ngtdm_Complexity,0.827630592,0.7555920411336802,0.5957289633558562
original_ngtdm_Contrast,0.886227326,0.7565666940636256,0.2835552817897682
original_ngtdm_Strength,0.950803442,0.981655775179795,0.2493615861586637
wavelet_LLH_firstorder_10Percentile,0.987560862,0.9807529265928489,0.9734409150235476
wavelet_LLH_firstorder_90Percentile,0.987114505,0.9780071135829608,0.9560055728126164
wavelet_LLH_firstorder_Energy,0.995539293,0.9805138622984388,0.9350206095019334
wavelet_LLH_firstorder_Entropy,0.920235748,0.9074461659079252,0.8612006391850199
wavelet_LLH_firstorder_InterquartileRange,0.990126314,0.9801469219388004,0.9619313359681826
wavelet_LLH_firstorder_Kurtosis,0.562830772,0.9002030497463787,0.8500512723094797
wavelet_LLH_firstorder_Maximum,0.963452532,0.974543602459568,0.983829371410236
wavelet_LLH_firstorder_MeanAbsoluteDeviation,0.992131679,0.984009884710737,0.9784116554437784
wavelet_LLH_firstorder_Mean,0.616578316,0.868689080642762,0.5740412573552816
wavelet_LLH_firstorder_Median,0.634854343,0.8635224113358051,0.4732665650009666
wavelet_LLH_firstorder_Minimum,0.961635594,0.9647891350131832,0.9880374206062056
wavelet_LLH_firstorder_Range,0.969254781,0.97794159731288,0.9917533242959649
wavelet_LLH_firstorder_RobustMeanAbsoluteDeviation,0.990885449,0.9814485352117568,0.9669086281222282
wavelet_LLH_firstorder_RootMeanSquared,0.992220831,0.9839344966041526,0.9828802639257124
wavelet_LLH_firstorder_Skewness,0.481923879,0.8824173824502967,0.7062142805099326
wavelet_LLH_firstorder_TotalEnergy,0.995539293,0.978547691293166,0.9409958560971922
wavelet_LLH_firstorder_Uniformity,0.925940472,0.9092488290745758,0.8111308956625315
wavelet_LLH_firstorder_Variance,0.991103663,0.9706069633594332,0.9621145581656406
wavelet_LLH_glcm_Autocorrelation,0.429489818,0.8087282673409717,0.8165713591009474
wavelet_LLH_glcm_ClusterProminence,0.793241252,0.8794404622499368,0.4828480105692876
wavelet_LLH_glcm_ClusterShade,0.417323106,0.8056943458630194,0.1997116304614969
wavelet_LLH_glcm_ClusterTendency,0.870426569,0.8965432868493658,0.7993994135946842
wavelet_LLH_glcm_Contrast,0.88791772,0.9085265298518715,0.8378565767134869
wavelet_LLH_glcm_Correlation,0.989686086,0.9632109373727766,0.8942010513435334
wavelet_LLH_glcm_DifferenceAverage,0.919832582,0.908670582918396,0.884837107800457
wavelet_LLH_glcm_DifferenceEntropy,0.920926266,0.909165865395198,0.8864932433260819
wavelet_LLH_glcm_DifferenceVariance,0.879392458,0.9178271899967224,0.8602273856989281
wavelet_LLH_glcm_Id,0.938973031,0.9091933322238652,0.8588948194038789
wavelet_LLH_glcm_Idm,0.940114829,0.9089214062938156,0.8562146949573732
wavelet_LLH_glcm_Idmn,0.898510647,0.9080043774796572,0.8702233875995221
wavelet_LLH_glcm_Idn,0.92658815,0.9084175837607394,0.886405375969701
wavelet_LLH_glcm_Imc1,0.959491151,0.942151280957184,0.487336763673888
wavelet_LLH_glcm_Imc2,0.97402166,0.9634483950836024,0.8466763985967065
wavelet_LLH_glcm_InverseVariance,0.923231468,0.9034269948037822,0.885218424226328
wavelet_LLH_glcm_JointAverage,0.431081995,0.8134682713013536,0.8208561403674662
wavelet_LLH_glcm_JointEnergy,0.896003308,0.902199726309925,0.7149338084885294
wavelet_LLH_glcm_JointEntropy,0.911198617,0.8982388296436007,0.8392371945649147
wavelet_LLH_glcm_MCC,0.817628338,0.834564456095906,0.7339971496116414
wavelet_LLH_glcm_MaximumProbability,0.898516337,0.8940077157298039,0.6967666989585884
wavelet_LLH_glcm_SumAverage,0.431081995,0.8134682713013535,0.8208561403674662
wavelet_LLH_glcm_SumEntropy,0.911405611,0.9069286671594712,0.8374966882762825
wavelet_LLH_glcm_SumSquares,0.876428318,0.896283285829699,0.8135923780493708
wavelet_LLH_glrlm_GrayLevelNonUniformity,0.99351407,0.99395218672808,0.5645849625820724
wavelet_LLH_glrlm_GrayLevelNonUniformityNormalized,0.924090168,0.9066669971132112,0.8368817188886952
wavelet_LLH_glrlm_GrayLevelVariance,0.884742271,0.903141167954304,0.7897604825804522
wavelet_LLH_glrlm_HighGrayLevelRunEmphasis,0.430766886,0.8029564565445984,0.8294503899320249
wavelet_LLH_glrlm_LongRunEmphasis,0.887204526,0.9286115036791044,0.5582177297685939
wavelet_LLH_glrlm_LongRunHighGrayLevelEmphasis,0.806855789,0.8696228459037135,0.7632144321171294
wavelet_LLH_glrlm_LongRunLowGrayLevelEmphasis,0.695931334,0.7966254168060141,0.3516827676395938
wavelet_LLH_glrlm_LowGrayLevelRunEmphasis,0.716841838,0.8213661858687404,0.3431702894273689
wavelet_LLH_glrlm_RunEntropy,0.909663569,0.8855749409146839,0.7935529528791246
wavelet_LLH_glrlm_RunLengthNonUniformity,0.996304646,0.9984719950564914,0.8540471542014013
wavelet_LLH_glrlm_RunLengthNonUniformityNormalized,0.951068858,0.9358255230829308,0.7624953210808754
wavelet_LLH_glrlm_RunPercentage,0.94759435,0.9352894200023816,0.7804447398765403
wavelet_LLH_glrlm_RunVariance,0.845911822,0.9242895718701796,0.4589784012603655
wavelet_LLH_glrlm_ShortRunEmphasis,0.946356232,0.9347981936631192,0.7631630179068452
wavelet_LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.520997024,0.797151601231923,0.823737374845423
wavelet_LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.739806272,0.8258504737950939,0.3422646182725518
wavelet_LLH_glszm_GrayLevelNonUniformity,0.996588468,0.9944990707111,0.8962431573501441
wavelet_LLH_glszm_GrayLevelNonUniformityNormalized,0.882016828,0.8959173259100336,0.8068629415747005
wavelet_LLH_glszm_GrayLevelVariance,0.884099202,0.9030453748539464,0.7182906739731988
wavelet_LLH_glszm_HighGrayLevelZoneEmphasis,0.418353381,0.7927379038904463,0.818311713076723
wavelet_LLH_glszm_LargeAreaEmphasis,0.904268102,0.936060129565413,0.0330888807641797
wavelet_LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.911704941,0.9111379804117284,0.0500717162704515
wavelet_LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.892733995,0.940883027976732,0.0219244698278189
wavelet_LLH_glszm_LowGrayLevelZoneEmphasis,0.729515652,0.7986212796778047,0.3913242178699794
wavelet_LLH_glszm_SizeZoneNonUniformity,0.981305313,0.96606879332971,0.8544605860505138
wavelet_LLH_glszm_SizeZoneNonUniformityNormalized,0.893741447,0.8462012092923095,0.4518337188368311
wavelet_LLH_glszm_SmallAreaEmphasis,0.89152209,0.8419591343720745,0.4512989639475029
wavelet_LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.588996708,0.7960297118108071,0.7183178997412453
wavelet_LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.730011737,0.7580009547242681,0.500508450257465
wavelet_LLH_glszm_ZoneEntropy,0.933879862,0.8811289775732362,0.2860538828590603
wavelet_LLH_glszm_ZonePercentage,0.950592971,0.9395665729203654,0.7196073445464587
wavelet_LLH_glszm_ZoneVariance,0.904270332,0.9360750766561998,0.0330818970328823
wavelet_LLH_gldm_DependenceEntropy,0.943974421,0.8834269845727379,0.5921443088578575
wavelet_LLH_gldm_DependenceNonUniformity,0.992851268,0.9934961269478814,0.7861084283941375
wavelet_LLH_gldm_DependenceNonUniformityNormalized,0.947175193,0.9276474857398788,0.7612960706416882
wavelet_LLH_gldm_DependenceVariance,0.914453613,0.9078840895584218,0.7642942295391651
wavelet_LLH_gldm_GrayLevelNonUniformity,0.986243543,0.990624920745496,0.2572162981318739
wavelet_LLH_gldm_GrayLevelVariance,0.88656038,0.903502499893689,0.7915546642298518
wavelet_LLH_gldm_HighGrayLevelEmphasis,0.431100981,0.8034723268081019,0.8293310785957347
wavelet_LLH_gldm_LargeDependenceEmphasis,0.925777009,0.9277636529760224,0.7595605621662674
wavelet_LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.89883568,0.9207205001233326,0.7857444385700837
wavelet_LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.877105713,0.838150270678784,0.6871678526646819
wavelet_LLH_gldm_LowGrayLevelEmphasis,0.715517707,0.8227762034232003,0.3389077319327581
wavelet_LLH_gldm_SmallDependenceEmphasis,0.946226237,0.9352549094849982,0.6920882656827895
wavelet_LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.895790393,0.879881702558508,0.7068850915870915
wavelet_LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.825348137,0.833772826697966,0.4152443610493747
wavelet_LLH_ngtdm_Busyness,0.990464454,0.9930910540862988,0.6561298632631838
wavelet_LLH_ngtdm_Coarseness,0.979057901,0.9973211877733642,0.2862234548981895
wavelet_LLH_ngtdm_Complexity,0.888461204,0.8781969584828112,0.8825243523093531
wavelet_LLH_ngtdm_Contrast,0.889297679,0.900614311999976,0.0459120693017624
wavelet_LLH_ngtdm_Strength,0.968623285,0.988900800404532,0.173624496264352
wavelet_LHL_firstorder_10Percentile,0.989993437,0.9800788354038358,0.9519898218579104
wavelet_LHL_firstorder_90Percentile,0.987473907,0.9785719255088798,0.9770410189220692
wavelet_LHL_firstorder_Energy,0.994841067,0.9646267929534056,0.8670459898363874
wavelet_LHL_firstorder_Entropy,0.893471556,0.9184833588913536,0.8474242918142576
wavelet_LHL_firstorder_InterquartileRange,0.994244959,0.984255927370952,0.9575608688090568
wavelet_LHL_firstorder_Kurtosis,0.667853253,0.856859628030208,0.8107522457467892
wavelet_LHL_firstorder_Maximum,0.96094485,0.9654793527815344,0.9840871354302184
wavelet_LHL_firstorder_MeanAbsoluteDeviation,0.994398124,0.9853003971234044,0.9721146302673402
wavelet_LHL_firstorder_Mean,0.744844797,0.8568203798071473,0.5514541450375767
wavelet_LHL_firstorder_Median,0.743426444,0.8384943274318166,0.3993981350425123
wavelet_LHL_firstorder_Minimum,0.949968259,0.952842826419813,0.9787126026235012
wavelet_LHL_firstorder_Range,0.97232867,0.9630880929753912,0.9859744008318846
wavelet_LHL_firstorder_RobustMeanAbsoluteDeviation,0.994324549,0.9844561554215427,0.9618718072437864
wavelet_LHL_firstorder_RootMeanSquared,0.993181224,0.9839452151941198,0.9757814651021012
wavelet_LHL_firstorder_Skewness,0.627727256,0.7549893304598561,0.7083531552158829
wavelet_LHL_firstorder_TotalEnergy,0.994841067,0.9623410894433858,0.8777684488736465
wavelet_LHL_firstorder_Uniformity,0.89703116,0.91025870558123,0.823602437495009
wavelet_LHL_firstorder_Variance,0.989124149,0.962031909519386,0.9607350370302408
wavelet_LHL_glcm_Autocorrelation,0.369633695,0.613308560274795,0.5976324813583073
wavelet_LHL_glcm_ClusterProminence,0.763884468,0.8285577648798421,0.4567904498909165
